cluster_id,analysis_order,reference_id,treatment_id,execution_class,strict_correct,semantic_correct,semantic_determinate,output_tokens,finish_reason
eb33a00e8cc63e9618a519d78d75c6f3,248,BASE,T0_OFF,primary,False,False,True,165,stop
eb33a00e8cc63e9618a519d78d75c6f3,248,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,False,False,True,90,stop
eb33a00e8cc63e9618a519d78d75c6f3,248,MASK_SENTINEL,T0_OFF,primary,False,False,False,197,stop
eb33a00e8cc63e9618a519d78d75c6f3,248,MASK_SENTINEL,T1_SILENT_CHECK,primary,False,False,True,159,stop
eb33a00e8cc63e9618a519d78d75c6f3,248,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,False,True,257,stop
4b53aee6813ee44bd4bd3f3bd9cd87fd,224,BASE,T0_OFF,primary,True,True,True,107,stop
4b53aee6813ee44bd4bd3f3bd9cd87fd,224,BASE,T1_SILENT_CHECK,primary,True,True,True,97,stop
4b53aee6813ee44bd4bd3f3bd9cd87fd,224,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,105,stop
4b53aee6813ee44bd4bd3f3bd9cd87fd,224,MASK_SENTINEL,T0_OFF,primary,True,True,True,323,stop
4b53aee6813ee44bd4bd3f3bd9cd87fd,224,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,True,True,True,301,stop
4b53aee6813ee44bd4bd3f3bd9cd87fd,224,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,274,stop
4f3b8ad1d90c604ab26863f975192ea7,249,BASE,T1_SILENT_CHECK,primary,True,True,True,645,stop
4f3b8ad1d90c604ab26863f975192ea7,249,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,640,stop
4f3b8ad1d90c604ab26863f975192ea7,249,BASE,T0_OFF,primary,True,True,True,719,stop
4f3b8ad1d90c604ab26863f975192ea7,249,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,658,stop
4f3b8ad1d90c604ab26863f975192ea7,249,MASK_SENTINEL,T0_OFF,primary,True,True,True,701,stop
4f3b8ad1d90c604ab26863f975192ea7,249,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,True,True,True,701,stop
da0f9a615393ed9974fe671e1cf13eb2,80,BASE,T1_SILENT_CHECK,primary,True,True,True,723,stop
da0f9a615393ed9974fe671e1cf13eb2,80,BASE,T0_OFF,primary,False,True,True,977,stop
da0f9a615393ed9974fe671e1cf13eb2,80,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,False,True,1032,stop
da0f9a615393ed9974fe671e1cf13eb2,80,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,False,False,True,1147,stop
da0f9a615393ed9974fe671e1cf13eb2,80,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,1234,stop
da0f9a615393ed9974fe671e1cf13eb2,80,BASE,T1_SILENT_CHECK,integrity_duplicate,True,True,True,723,stop
da0f9a615393ed9974fe671e1cf13eb2,80,BASE,T0_OFF,integrity_duplicate,False,True,True,977,stop
da0f9a615393ed9974fe671e1cf13eb2,80,MASK_SENTINEL,T0_OFF,primary,False,False,True,2237,stop
da0f9a615393ed9974fe671e1cf13eb2,80,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,integrity_duplicate,False,False,True,1032,stop
da0f9a615393ed9974fe671e1cf13eb2,80,MASK_SENTINEL,T1_SILENT_CHECK,integrity_duplicate,True,True,True,1234,stop
da0f9a615393ed9974fe671e1cf13eb2,80,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,integrity_duplicate,False,False,True,1147,stop
da0f9a615393ed9974fe671e1cf13eb2,80,MASK_SENTINEL,T0_OFF,integrity_duplicate,False,False,True,2237,stop
f11a0c5f1e2de7da29cfc2f8f5541305,36,BASE,T0_OFF,primary,False,False,True,8192,length
f11a0c5f1e2de7da29cfc2f8f5541305,36,BASE,T1_SILENT_CHECK,primary,False,False,False,8192,length
f11a0c5f1e2de7da29cfc2f8f5541305,36,MASK_SENTINEL,T0_OFF,primary,False,False,True,8192,length
f11a0c5f1e2de7da29cfc2f8f5541305,36,MASK_SENTINEL,T1_SILENT_CHECK,primary,False,False,True,8192,length
f11a0c5f1e2de7da29cfc2f8f5541305,36,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,True,True,8192,length
